factor,ic_mean,ic_std,icir,ic_t,ic_pvalue,positive_ratio,n_dates,top_minus_bottom,monotonic_score,autocorr_lag1,abs_icir,abs_monotonic,has_persistence,score
rsi_14_lag5,0.035908501346581835,0.14380009057046164,0.24971125681584164,4.003175980093886,8.191166002015068e-05,0.5797665369649806,257,0.01612310481324986,0.5,0.8486452651458343,0.24971125681584164,0.5,1.0,0.7997112568158415
parkinson_vol_10_lag1,0.045540387711697786,0.1830953680513844,0.24872495790782212,3.9873644057655064,8.722102394304221e-05,0.622568093385214,257,0.007078389424538048,0.5,0.9121350396928506,0.24872495790782212,0.5,1.0,0.7987249579078222
return_skew_20_lag2,-0.02386299101627437,0.09634696060646959,-0.24767767313120614,-3.9705751535887055,9.321596627991381e-05,0.38910505836575876,257,-0.003017635779500677,-0.5,0.8559063341440177,0.24767767313120614,0.5,1.0,0.7976776731312061
ema_gap_12_26_lag1,0.04612065552159541,0.1898396323877252,0.24294534782599755,3.8947102076773055,0.0001255291175800267,0.6070038910505836,257,0.0144368940488721,0.5,0.9756887702158251,0.24294534782599755,0.5,1.0,0.7929453478259976
return_kurt_20_lag4,-0.018363696174239504,0.07701444110153326,-0.23844484114387615,-3.822561597006513,0.00016589883199300898,0.4085603112840467,257,0.0011705808668403608,0.5,0.8499634626630743,0.23844484114387615,0.5,1.0,0.7884448411438761
momentum_20_lag2,0.03757920857501697,0.16870550182813976,0.22275034404804944,3.570959668463895,0.00042472720596365776,0.6147859922178989,257,0.011210318190654503,0.5,0.87362198813848,0.22275034404804944,0.5,1.0,0.7727503440480494
momentum_60_lag15,0.04003861992119894,0.17992179577956138,0.22253346098353705,3.567482768441781,0.0004301282894137634,0.5369649805447471,257,0.030049301870819507,0.5,0.9257482080061356,0.22253346098353705,0.5,1.0,0.772533460983537
alpha011_lag15,-0.024879939833253522,0.0916781610529203,-0.27138349578032905,-4.350608400897699,1.962513979845026e-05,0.3968871595330739,257,-0.00861194105201396,-1.0,0.2631661712260474,0.27138349578032905,1.0,0.0,0.771383495780329
return_skew_20_lag3,-0.020700525029219534,0.09480570311889268,-0.218346833030284,-3.5003660165830035,0.0005479072232822638,0.41245136186770426,257,-0.0016658526177694075,-0.5,0.8565855645150853,0.218346833030284,0.5,1.0,0.7683468330302841
alpha005_lag10,-0.03163462759197318,0.14557046854222266,-0.21731487099526348,-3.483822406640703,0.0005812635926100326,0.42412451361867703,257,-0.018559249626593242,-0.5,0.5805183873647369,0.21731487099526348,0.5,1.0,0.7673148709952635
parkinson_vol_10_lag0,0.039744479943589664,0.1860130767714875,0.21366497793278685,3.42531016965175,0.0007151209589877372,0.6186770428015564,257,0.007443311241698149,0.5,0.9150565126301714,0.21366497793278685,0.5,1.0,0.7636649779327869
risk_adj_mom_20_lag2,0.029035907864902833,0.13826859083792795,0.20999641125248308,3.36649857179577,0.0008782790049049681,0.603112840466926,257,0.01683546786129957,0.5,0.8735811013751499,0.20999641125248308,0.5,1.0,0.7599964112524831
rsi_14_lag4,0.030119376413131532,0.15059519111038314,0.2000022456962431,3.206279909625777,0.0015155768227727334,0.5953307392996109,257,0.014880140547047824,0.5,0.8488433378509944,0.2000022456962431,0.5,1.0,0.7500022456962431
momentum_60_lag1,0.036177849956865606,0.194681572775833,0.18583089010957785,2.979095797009879,0.003168752449289706,0.5875486381322957,257,0.021920503328597962,0.5,0.9293540969184513,0.18583089010957785,0.5,1.0,0.7358308901095778
risk_adj_mom_20_lag10,0.056764774156334116,0.13250762711973435,0.4283887304467483,6.867593787059675,4.928723376740839e-11,0.6381322957198443,257,0.019432655703961427,0.0,0.8750043363097384,0.4283887304467483,0.0,1.0,0.7283887304467482
alpha050_lag2,-0.011533336378407644,0.06646714230871732,-0.17351936577684068,-2.7817270475365543,0.005809297800191771,0.38132295719844356,257,-0.0008299504869312482,0.5,0.8059204506230955,0.17351936577684068,0.5,1.0,0.7235193657768406
alpha005_lag7,-0.023751821775505295,0.14146269915950768,-0.16790165829314263,-2.691668345543321,0.007578177669021739,0.45525291828793774,257,-0.019194312080715772,-0.5,0.5830134425472268,0.16790165829314263,0.5,1.0,0.7179016582931426
return_kurt_20_lag15,-0.013050242614677392,0.07934973638041812,-0.1644648515542885,-2.6365721421897335,0.008886720191942655,0.43190661478599224,257,-0.004235137786341832,-0.5,0.8553824527485926,0.1644648515542885,0.5,1.0,0.7144648515542884
alpha042_lag0,0.04011350124791928,0.2440239195876186,0.1643834805854605,2.635267666324116,0.008920023971673385,0.556420233463035,257,-0.018996649838556492,-0.5,0.4910874638931872,0.1643834805854605,0.5,1.0,0.7143834805854605
momentum_20_lag1,0.02677834199297545,0.17095869031779035,0.15663633093584148,2.511071409467264,0.012653307594143879,0.603112840466926,257,0.006135390066292067,0.5,0.8735329044585695,0.15663633093584148,0.5,1.0,0.7066363309358414
rsi_14_lag3,0.024375451677212168,0.15617644118397914,0.15607636780823667,2.5020945176332723,0.012970651754589243,0.5797665369649806,257,0.015224687386086812,0.5,0.8485457402364228,0.15607636780823667,0.5,1.0,0.7060763678082367
return_kurt_20_lag10,-0.012039954468238051,0.08112589823850108,-0.14841073848996938,-2.3792051311054467,0.018083554894834812,0.49416342412451364,257,-0.007160918391461296,-0.5,0.859320385154861,0.14841073848996938,0.5,1.0,0.6984107384899694
alpha042_lag1,0.034514521569648876,0.2422257221398505,0.1424890852414167,2.284273807827004,0.023174467224191194,0.5486381322957199,257,-0.021668972889943034,-0.5,0.4871315019409011,0.1424890852414167,0.5,1.0,0.6924890852414167
risk_adj_mom_20_lag1,0.019137601417005844,0.13961087444600326,0.137078157363792,2.197530035095516,0.028878618409619115,0.5719844357976653,257,0.015567716816757813,0.5,0.8734789733778529,0.137078157363792,0.5,1.0,0.6870781573637921
alpha042_lag2,0.031299175417213596,0.24071194737812715,0.13002751113157945,2.084499577434778,0.03810610503871967,0.5486381322957199,257,-0.023809842030350734,-0.5,0.48577629791420823,0.13002751113157945,0.5,1.0,0.6800275111315794
alpha042_lag3,0.028441361464491877,0.23854153859288685,0.11923022561295737,1.9114059228293703,0.0570690421520177,0.556420233463035,257,-0.025638979858231114,-0.5,0.4867512394770059,0.11923022561295737,0.5,1.0,0.6692302256129574
rsi_14_lag2,0.01855537305044528,0.15972485396029557,0.11617085625921297,1.86236050105979,0.0636978665728301,0.556420233463035,257,0.015416361789930357,0.5,0.8486998243275263,0.11617085625921297,0.5,1.0,0.666170856259213
trend_slope_ma20_lag15,0.05912725824538591,0.16289517519625019,0.36297734524151215,5.81896951029596,1.7630655795175926e-08,0.6381322957198443,257,0.02923604496170113,0.0,0.9647776488693268,0.36297734524151215,0.0,1.0,0.6629773452415122
alpha042_lag4,0.025968022470750918,0.2366844624594924,0.10971578869565737,1.7588778957907527,0.0797929595293084,0.556420233463035,257,-0.026560750911592934,-0.5,0.4843582483623934,0.10971578869565737,0.5,1.0,0.6597157886956573
alpha042_lag5,0.02184915153111456,0.237019758892122,0.09218282742857341,1.4778031444988267,0.14068969872058845,0.5525291828793775,257,-0.026819676495862796,-0.5,0.4820284778471246,0.09218282742857341,0.5,1.0,0.6421828274285735
